"事故類型及型態子類別名稱","發生年度","發生月份","發生日期","發生時間","天候名稱","光線名稱","速限.第1當事者","道路型態子類別名稱","事故位置子類別名稱","路面狀況.路面鋪裝名稱","路面狀況.路面狀態名稱","道路障礙.視距品質名稱","號誌.號誌動作名稱","車道劃分設施.分向設施大類別名稱","車道劃分設施.分道設施.快慢車道間名稱","車道劃分設施.分道設施.路面邊線名稱","當事者事故發生時年齡","行動電話或電腦或其他相類功能裝置名稱","經度","緯度","縣市","鄉鎮"
"追撞","2018",1,1,5,"晴","晨或暮光",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",22,"未使用",120.578892,23.962235,"彰化縣","大村鄉"
"追撞","2018",1,1,5,"晴","晨或暮光",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",68,"非汽(機)車駕駛人",120.578892,23.962235,"彰化縣","大村鄉"
"撞交通島","2018",1,1,14,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","中央分向島","快慢車道分隔線","有",63,"未使用",121.24492,25.036777,"桃園市","蘆竹區"
"撞路樹、電桿","2018",1,1,17,"晴","日間自然光線",40,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",46,"未使用",120.861178,24.682004,"苗栗縣","竹南鎮"
"撞路樹、電桿","2018",1,1,17,"晴","日間自然光線",40,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",16,"未使用",120.861178,24.682004,"苗栗縣","竹南鎮"
"撞路樹、電桿","2018",1,1,17,"晴","日間自然光線",40,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",15,"未使用",120.861178,24.682004,"苗栗縣","竹南鎮"
"撞路樹、電桿","2018",1,1,17,"晴","日間自然光線",40,"彎曲路及附近","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",43,"未使用",120.861178,24.682004,"苗栗縣","竹南鎮"
"其他","2018",1,1,17,"晴","晨或暮光",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",82,"未使用",120.771165,23.82721,"南投縣","集集鎮"
"其他","2018",1,1,17,"晴","晨或暮光",40,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","有",28,"未使用",120.771165,23.82721,"南投縣","集集鎮"
"穿越道路中","2018",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"彎曲路及附近","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",37,"未使用",120.502953,24.102967,"彰化縣","和美鎮"
"穿越道路中","2018",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"彎曲路及附近","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",55,"非汽(機)車駕駛人",120.502953,24.102967,"彰化縣","和美鎮"
"穿越道路中","2018",1,1,19,"晴","夜間(或隧道、地下道、涵洞)有照明",50,"彎曲路及附近","快車道","柏油","乾燥","良好","無號誌","雙向禁止超車線","快慢車道分隔線","有",19,"未使用",120.502953,24.102967,"彰化縣","和美鎮"
"側撞","2018",1,2,9,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",28,"不明",120.45893,23.700923,"雲林縣","虎尾鎮"
"側撞","2018",1,2,9,"晴","日間自然光線",50,"四岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",62,"未使用",120.45893,23.700923,"雲林縣","虎尾鎮"
"其他","2018",1,2,10,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",36,"未使用",121.219521,24.959527,"桃園市","中壢區"
"其他","2018",1,2,10,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",30,"未使用",121.219521,24.959527,"桃園市","中壢區"
"其他","2018",1,2,10,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","雙向禁止超車線","未繪設快慢車道分隔線","無",32,"未使用",121.219521,24.959527,"桃園市","中壢區"
"側撞","2018",1,2,13,"晴","日間自然光線",50,"多岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",19,"未使用",121.371249,24.923638,"新北市","樹林區"
"側撞","2018",1,2,13,"晴","日間自然光線",50,"多岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",54,"未使用",121.371249,24.923638,"新北市","樹林區"
"衝出路外","2018",1,2,15,"陰","日間自然光線",40,"彎曲路及附近","其他","柏油","乾燥","良好","無號誌","無","未繪設快慢車道分隔線","無",74,"不明",121.524078,23.579573,"花蓮縣","豐濱鄉"
"其他","2018",1,2,16,"晴","日間自然光線",60,"三岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",76,"未使用",120.310998,23.629405,"雲林縣","元長鄉"
"其他","2018",1,2,16,"晴","日間自然光線",60,"三岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",57,"未使用",120.310998,23.629405,"雲林縣","元長鄉"
"同向擦撞","2018",1,2,16,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",87,"未使用",120.455174,22.539275,"屏東縣","新園鄉"
"同向擦撞","2018",1,2,16,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",44,"未使用",120.455174,22.539275,"屏東縣","新園鄉"
"同向擦撞","2018",1,2,16,"晴","日間自然光線",50,"直路","一般車道(未劃分快慢車道)","柏油","乾燥","良好","無號誌","行車分向線","未繪設快慢車道分隔線","有",88,"非汽(機)車駕駛人",120.455174,22.539275,"屏東縣","新園鄉"
"側撞","2018",1,2,16,"晴","日間自然光線",50,"多岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",84,"未使用",24.140329,120.696681,"臺中市","東區"
"側撞","2018",1,2,16,"晴","日間自然光線",50,"多岔路","交叉路口內","柏油","乾燥","良好","正常","無","未繪設快慢車道分隔線","無",18,"未使用",24.140329,120.696681,"臺中市","東區"
